overall,rnd,pick_in_rnd,slot,original,owner,traded
106,11,6,6,WillHayes33,WillHayes33,0
107,11,7,7,SharksGeneralManager,SharksGeneralManager,0
108,11,8,8,HouseofCB,HouseofCB,0
109,11,9,9,OscarDempsey,OscarDempsey,0
110,11,10,10,drdray1,drdray1,0
111,12,1,10,drdray1,drdray1,0
112,12,2,9,OscarDempsey,OscarDempsey,0
113,12,3,8,HouseofCB,HouseofCB,0
114,12,4,7,SharksGeneralManager,SharksGeneralManager,0
115,12,5,6,WillHayes33,WillHayes33,0
116,12,6,5,timmy2tufff,timmy2tufff,0
117,12,7,4,cosabosa,cosabosa,0
118,12,8,3,Crollll,Crollll,0
119,12,9,2,JamesCS,JamesCS,0
120,12,10,1,vcashdaddy,vcashdaddy,0
121,13,1,1,vcashdaddy,vcashdaddy,0
122,13,2,2,JamesCS,JamesCS,0
123,13,3,3,Crollll,Crollll,0
124,13,4,4,cosabosa,cosabosa,0
125,13,5,5,timmy2tufff,timmy2tufff,0
126,13,6,6,WillHayes33,WillHayes33,0
127,13,7,7,SharksGeneralManager,SharksGeneralManager,0
128,13,8,8,HouseofCB,HouseofCB,0
129,13,9,9,OscarDempsey,OscarDempsey,0
130,13,10,10,drdray1,drdray1,0
131,14,1,10,drdray1,drdray1,0
132,14,2,9,OscarDempsey,OscarDempsey,0
133,14,3,8,HouseofCB,HouseofCB,0
134,14,4,7,SharksGeneralManager,SharksGeneralManager,0
135,14,5,6,WillHayes33,WillHayes33,0
136,14,6,5,timmy2tufff,timmy2tufff,0
137,14,7,4,cosabosa,cosabosa,0
138,14,8,3,Crollll,Crollll,0
139,14,9,2,JamesCS,JamesCS,0
140,14,10,1,vcashdaddy,vcashdaddy,0
141,15,1,1,vcashdaddy,vcashdaddy,0
142,15,2,2,JamesCS,JamesCS,0
143,15,3,3,Crollll,Crollll,0
144,15,4,4,cosabosa,cosabosa,0
145,15,5,5,timmy2tufff,timmy2tufff,0
146,15,6,6,WillHayes33,WillHayes33,0
147,15,7,7,SharksGeneralManager,SharksGeneralManager,0
148,15,8,8,HouseofCB,HouseofCB,0
149,15,9,9,OscarDempsey,OscarDempsey,0
150,15,10,10,drdray1,drdray1,0
