player_id,player_name,position,team_last,seasons_played,last_season,first_season,n_teams,games,attempts,completions,pass_yards,pass_tds,interceptions,sacks_suffered,pass_air_yards,pass_yac,pass_epa,carries,rush_yards,rush_tds,rush_epa,ppr,times_blitzed,times_hurried,times_hit,times_pressured,bad_throws,throwaways,batted_balls,rpo_plays,pa_pass_att,pfr_scrambles,pfr_pass_attempts,dropbacks,qb_epa_total,cpoe_sum,cpoe_n,sacks,scrambles,pbp_air_yards,pbp_air_yards_n,qb_hits,espn_pts_added,qb_plays,epa_total,pbp_carries,gl5_carries,third_down_carries,rush_epa_total,ypa,adot,td_int,cpoe,pressure_rate_pbp,designed_rushes,rush_ppr,rush_share_of_ppr,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards_pass,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,ngs_avg_air_distance,ngs_passer_rating,pfr_pocket_time,pfr_scramble_ypa,pfr_iay_per_att,pfr_cay_per_comp,cpoe_w,espn_qbr,espn_qbr_raw,ngs_max_air_distance,comp_pct,td_rate,int_rate,epa_per_dropback,sack_rate,scramble_rate,pfr_pressure_pct,pfr_bad_throw_pct,pfr_blitz_rate,pfr_pa_rate,pfr_rpo_rate,rush_epa_per_att,attempts_pg,pass_yards_pg,pass_tds_pg,interceptions_pg,carries_pg,rush_yards_pg,rush_tds_pg,ppr_pg,dropbacks_pg,designed_rushes_pg,rush_ppr_pg,sacks_pg,scrambles_pg,gl5_carries_pg,window_seasons,thin_data
00-0029263,Russell Wilson,QB,NYG,3,2025,2023,3,32,902,580,6383,45,16,88,6915,3233,-32.76516251253325,141,602,5,8.685108277069661,479.52,262,80,108,276,129,63,23.0,58.0,94.0,33.0,902,1052,-14.231996157533437,3221.0617780685425,830,88.0,68.0,6914.0,896,210.0,-1.3,1025.0,86.9,46.0,6.0,26.0,15.071489188016747,7.076496674057649,7.6662971175166295,2.8125,3.8807973229741477,0.2832699619771863,73.0,90.2,0.18810477143810478,2.974421701626715,5.158303345940761,7.576896443629411,-2.4185930976886554,12.643678160919533,-1.4421673227115837,64.04224190997513,1.2195716277004593,20.841296891728685,96.97477650063857,2.535476718403548,7.156923076923077,8.056923076923077,6.448763250883392,2.459518516978223,49.49846743295019,49.527969348659,61.2006576762048,0.6430155210643016,0.04988913525498891,0.017738359201773836,-0.013528513457731404,0.08365019011406843,0.06463878326996197,30.598669623059866,14.301552106430155,0.29046563192904656,0.10421286031042129,0.06430155210643015,0.3276410693047119,28.1875,199.46875,1.40625,0.5,4.40625,18.8125,0.15625,14.985,32.875,2.28125,2.81875,2.75,2.125,0.1875,2023-2025,False
00-0029604,Kirk Cousins,QB,ATL,3,2025,2023,2,32,1033,685,7560,46,26,58,7496,3666,57.30663521553214,51,32,1,-17.577146334110235,429.6,282,63,123,244,131,29,21.0,26.0,85.0,5.0,1033,1090,62.54928001060475,1000.071981549263,994,58.0,8.0,7494.0,1024,185.0,12.5,892.0,92.4,15.0,2.0,5.0,8.773572127596708,7.318489835430784,7.256534365924492,1.7692307692307692,1.0061086333493592,0.22293577981651377,43.0,9.2,0.021415270018621972,2.771928867954126,5.490979110211431,7.399648446420625,-1.908669336209193,17.231364956437556,-1.5711479635749175,63.91604409614181,2.395669359811749,20.714875541407427,92.1930461439174,2.430106485963214,4.815650969529086,7.31371191135734,5.433688699360341,0.651154744265791,53.59450261780104,54.742277486911,54.5137166225162,0.6631171345595354,0.044530493707647625,0.02516940948693127,0.057384660560187845,0.05321100917431193,0.007339449541284404,23.62052274927396,12.681510164569215,0.27299128751210067,0.08228460793804453,0.02516940948693127,0.5849048085064472,32.28125,236.25,1.4375,0.8125,1.59375,1.0,0.03125,13.425,34.0625,1.34375,0.2875,1.8125,0.25,0.0625,2023-2025,False
00-0029701,Ryan Tannehill,QB,TEN,1,2023,2023,1,9,230,149,1616,4,7,32,1816,795,-22.866367662793948,17,74,1,-4.067895085056084,80.03999999999999,65,10,30,72,31,7,5.0,14.0,58.0,,230,268,-19.496621936213163,231.48036003112793,222,32.0,8.0,1817.0,228,64.0,,,,3.0,0.0,0.0,0.6937172036268748,7.026086956521739,7.895652173913043,0.5714285714285714,1.0427043244645402,0.3582089552238806,9.0,13.4,0.16741629185407297,2.69201754385965,5.19919463087248,7.89873873873874,-2.69954410786625,13.9130434782609,-1.10126126126126,64.4315941332151,0.351014562437058,20.6284668558352,78.4601449275362,2.4,,,,1.7786124560076952,,,62.2146132351556,0.6478260869565218,0.017391304347826087,0.030434782608695653,-0.07274858931422822,0.11940298507462686,0.029850746268656716,31.30434782608696,13.478260869565217,0.2826086956521739,0.25217391304347825,0.06086956521739131,0.23123906787562495,25.555555555555557,179.55555555555554,0.4444444444444444,0.7777777777777778,1.8888888888888888,8.222222222222221,0.1111111111111111,8.893333333333333,29.77777777777778,1.0,1.488888888888889,3.5555555555555554,0.8888888888888888,0.0,2023-2025,True
00-0030565,Geno Smith,QB,LV,3,2025,2023,2,47,1525,1032,10969,60,41,136,10258,5608,-16.621773146888472,131,536,3,-5.358736659894911,667.16,429,121,145,402,176,57,44.0,158.0,113.0,42.0,1525,1715,15.169044075022157,4580.583593249321,1454,136.0,62.0,10261.0,1517,280.0,-9.299999999999997,1916.0,161.2,33.0,3.0,17.0,-8.97992352451547,7.192786885245901,6.72655737704918,1.4634146341463414,3.1503325950820638,0.2425655976676385,69.0,71.6,0.10732058276875112,2.824370281672674,5.144675646586099,7.195373975671274,-2.050698329085175,13.836065573770519,-1.877139536208521,65.26378159723428,2.408349550306706,21.16755696709727,90.35928961748631,2.429377049180328,8.691423001949317,6.4943469785575045,4.8740479548660085,3.5120275642166687,48.58918032786885,48.66740983606557,57.7248343436341,0.6767213114754098,0.03934426229508197,0.026885245901639345,0.008844923658905048,0.0793002915451895,0.036151603498542274,26.360655737704917,11.540983606557377,0.2813114754098361,0.0740983606557377,0.10360655737704919,-0.272118894682287,32.4468085106383,233.38297872340425,1.2765957446808511,0.8723404255319149,2.7872340425531914,11.404255319148936,0.06382978723404255,14.194893617021275,36.48936170212766,1.4680851063829787,1.523404255319149,2.893617021276596,1.3191489361702127,0.06382978723404255,2023-2025,False
00-0031237,Teddy Bridgewater,QB,TB,1,2025,2025,1,3,15,8,62,0,0,2,98,52,-12.4985269496683,3,4,0,-0.0188060835935175,2.88,4,0,2,4,4,1,0.0,2.0,,1.0,15,18,-12.51733303326182,-228.11889350414276,14,2.0,1.0,98.0,15,4.0,,,,,,,,4.133333333333334,6.533333333333333,,-16.29420667886734,0.3333333333333333,2.0,0.4,0.1388888888888889,,,,,,,,,,,2.0,6.0,6.5,1.3,-16.2942066788673,,,,0.5333333333333333,0.0,0.0,-0.6954073907367678,0.1111111111111111,0.05555555555555555,26.666666666666668,26.666666666666668,0.26666666666666666,,0.13333333333333333,,5.0,20.666666666666668,0.0,0.0,1.0,1.3333333333333333,0.0,0.96,6.0,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.3333333333333333,,2023-2025,True
00-0031280,Derek Carr,QB,NO,2,2024,2023,1,27,827,564,6023,40,13,39,6458,2783,75.59443242678066,49,111,1,-21.370323770330973,392.02,251,66,56,161,117,42,10.0,34.0,87.0,8.0,827,883,75.09406375041266,2444.5424497127533,785,39.0,17.0,6458.0,827,96.0,29.6,960.0,109.69999999999999,11.0,3.0,4.0,-7.497055136656854,7.282950423216445,7.808948004836759,3.076923076923077,3.114066814920705,0.15288788221970556,32.0,17.1,0.04362022345798684,2.71635792019347,5.759639527840156,8.15920122424096,-2.399561696400803,13.542926239419574,-0.6828381271201923,64.46561073788492,3.7326963963351423,21.4489333123981,98.83363563079409,2.3337363966142686,6.3,7.799999999999999,5.6,4.033070613443283,57.74824667472794,60.66033857315598,67.4593996415622,0.6819830713422007,0.04836759371221282,0.015719467956469165,0.08504423980794186,0.044167610419026046,0.01925254813137033,19.46795646916566,14.147521160822249,0.30350665054413545,0.10519951632406288,0.041112454655380895,-0.681550466968805,30.62962962962963,223.07407407407408,1.4814814814814814,0.48148148148148145,1.8148148148148149,4.111111111111111,0.037037037037037035,14.51925925925926,32.7037037037037,1.1851851851851851,0.6333333333333334,1.4444444444444444,0.6296296296296297,0.1111111111111111,2023-2025,False
00-0031288,AJ McCarron,QB,CIN,1,2023,2023,1,2,5,4,19,0,0,1,-8,20,-5.25107204460073,0,0,0,0.0,0.76,3,0,0,1,1,0,0.0,0.0,1.0,,5,6,-5.251072044600733,-23.19943904876709,5,1.0,0.0,-8.0,5,1.0,,,,,,,,3.8,-1.6,,-4.639887809753418,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,2.3,,,,2.957920730113975,,,,0.8,0.0,0.0,-0.8751786741001221,0.16666666666666666,0.0,20.0,20.0,0.6,0.2,0.0,,2.5,9.5,0.0,0.0,0.0,0.0,0.0,0.38,3.0,0.0,0.0,0.5,0.0,,2023-2025,True
00-0031345,Jimmy Garoppolo,QB,LA,2,2024,2023,2,8,210,137,1539,9,10,17,1585,700,-16.03100322974402,22,44,0,-4.6996999970578965,83.96,64,5,20,42,38,4,5.0,10.0,37.0,1.0,210,235,-14.606946650647366,-443.9313530921936,205,17.0,9.0,1587.0,209,40.0,,,,6.0,0.0,5.0,-3.096444511465961,7.328571428571428,7.5476190476190474,0.9,-2.165518795571676,0.2425531914893617,13.0,4.4,0.05240590757503574,2.93774404761905,6.56563636363636,8.06139393939394,-1.49575757575758,15.9763313609467,-0.9143636363636362,65.9965387506951,-0.9077813542453439,20.3546480619488,77.6503944773176,2.4414285714285717,5.0,5.4,3.8,-9.572624554305163,,,54.7088767934419,0.6523809523809524,0.04285714285714286,0.047619047619047616,-0.06215721978998879,0.07234042553191489,0.03829787234042553,20.0,18.095238095238095,0.3047619047619048,0.1761904761904762,0.047619047619047616,-0.5160740852443269,26.25,192.375,1.125,1.25,2.75,5.5,0.0,10.495,29.375,1.625,0.55,2.125,1.125,0.0,2023-2025,False
00-0031503,Jameis Winston,QB,NYG,3,2025,2023,3,20,409,243,2952,17,17,29,3869,1060,-19.871275525773115,37,100,2,16.520339367823897,186.38,98,36,35,100,78,9,11.0,34.0,1.0,9.0,409,446,-10.027780799152541,-1067.688062787056,396,29.0,9.0,3869.0,408,65.0,3.9,451.0,43.1,20.0,1.0,4.0,10.177602090319851,7.21760391198044,9.45965770171149,1.0,-2.69618197673499,0.21076233183856502,28.0,22.0,0.11803841613907072,2.78802372881356,7.39502762430939,9.24083333333333,-1.84580570902394,17.5675675675676,0.504722222222222,63.4251351351351,-2.27648648648648,22.3122113334021,80.6447072072072,2.3816625916870415,6.748066298342542,8.991160220994475,7.856422018348624,-4.21688980227318,55.171823204419894,52.937016574585634,62.3104846715222,0.5941320293398533,0.04156479217603912,0.04156479217603912,-0.02248381345101467,0.06502242152466367,0.020179372197309416,24.449877750611247,19.070904645476773,0.2396088019559902,0.0024449877750611247,0.08312958435207823,0.5088801045159925,20.45,147.6,0.85,0.85,1.85,5.0,0.1,9.318999999999999,22.3,1.4,1.1,1.45,0.45,0.05,2023-2025,False
00-0031800,Taylor Heinicke,QB,LAC,2,2024,2023,2,9,141,77,918,5,4,11,1168,517,-7.5988786955295415,17,144,1,10.523406605905622,69.12,38,9,13,33,32,6,2.0,19.0,31.0,2.0,141,165,4.5798317473849615,-1213.386818766594,132,11.0,15.0,1168.0,139,24.0,,,,,,,,6.51063829787234,8.28368794326241,1.25,-9.192324384595409,0.21212121212121213,2.0,20.4,0.29513888888888884,2.88202985074627,5.00162162162162,8.436953125,-3.43533150337838,13.2352941176471,-0.406796875,63.1202865227619,-8.70852181687951,22.2118368993993,74.6936274509804,2.49645390070922,10.0,6.4,6.3,-9.042828892225618,,,61.5449916727592,0.5460992907801419,0.03546099290780142,0.028368794326241134,0.027756556044757342,0.06666666666666667,0.09090909090909091,23.404255319148938,22.69503546099291,0.2695035460992908,0.2198581560283688,0.1347517730496454,,15.666666666666666,102.0,0.5555555555555556,0.4444444444444444,1.8888888888888888,16.0,0.1111111111111111,7.680000000000001,18.333333333333332,0.2222222222222222,2.2666666666666666,1.2222222222222223,1.6666666666666667,,2023-2025,False
00-0032156,Trevor Siemian,QB,NYJ,1,2023,2023,1,5,153,86,724,2,4,8,814,471,-54.59470523672371,11,40,0,-7.309838077169844,26.96,46,4,16,28,33,8,4.0,1.0,19.0,,153,167,-57.393975382900834,-1285.6603741645813,144,8.0,6.0,814.0,153,22.0,,,,3.0,0.0,2.0,2.9624936596956104,4.73202614379085,5.3202614379084965,0.5,-8.928197042809593,0.17964071856287425,5.0,4.0,0.14836795252225518,2.52671241830065,2.64988372093023,5.73631944444444,-3.08643572351421,16.9934640522876,-3.79840277777778,64.9970597593613,-8.78790943256391,18.6150654761645,62.1051198257081,2.2,,,,-11.802561215077978,,,48.6692027878,0.5620915032679739,0.013071895424836602,0.026143790849673203,-0.3436764992988074,0.04790419161676647,0.03592814371257485,18.30065359477124,21.568627450980394,0.3006535947712418,0.12418300653594772,0.006535947712418301,0.9874978865652034,30.6,144.8,0.4,0.8,2.2,8.0,0.0,5.392,33.4,1.0,0.8,1.6,1.2,0.0,2023-2025,True
00-0032268,Marcus Mariota,QB,WAS,3,2025,2023,2,15,294,188,2223,15,8,22,2881,818,9.857683717961805,76,441,2,15.897049894808664,183.02,98,19,26,67,40,16,4.0,81.0,0.0,22.0,294,337,24.67109364368505,1358.6881309747696,275,22.0,24.0,2880.0,291,47.0,10.700000000000001,104.0,12.9,43.0,3.0,9.0,5.763636079163595,7.561224489795919,9.799319727891156,1.875,4.940684112635526,0.20474777448071216,52.0,56.1,0.3065238771718938,2.85262222222222,7.37834532374101,10.1759523809524,-2.79760705721138,19.8237885462555,1.1949999999999998,57.9380176211454,3.29546255506607,22.8219534651168,86.0591042584435,2.4149659863945576,8.645387453874537,9.886346863468635,7.599999999999999,0.8482471697067991,77.23731343283582,76.88507462686567,49.0800264873604,0.6394557823129252,0.05102040816326531,0.027210884353741496,0.07320799300796751,0.06528189910979229,0.0712166172106825,22.789115646258505,13.60544217687075,0.3333333333333333,0.0,0.2755102040816326,0.13403804835264174,19.6,148.2,1.0,0.5333333333333333,5.066666666666666,29.4,0.13333333333333333,12.201333333333334,22.466666666666665,3.466666666666667,3.74,1.4666666666666666,1.6,0.2,2023-2025,False
00-0032434,Brandon Allen,QB,TEN,2,2025,2024,2,4,60,34,271,1,3,3,350,196,-36.38256840259122,3,4,0,-0.990277614444494,7.240000000000001,14,7,6,16,14,3,1.0,7.0,,1.0,60,64,-37.372846017035705,-526.4430344104767,57,3.0,1.0,350.0,60,8.0,,,,,,,,4.516666666666667,5.833333333333333,0.3333333333333333,-9.235842708955731,0.171875,2.0,0.4,0.055248618784530384,,,,,,,,,,,2.3,6.0,5.8,2.2,-15.815443041232895,,,,0.5666666666666667,0.016666666666666666,0.05,-0.5839507190161829,0.046875,0.015625,26.666666666666668,23.333333333333332,0.23333333333333334,,0.11666666666666667,,15.0,67.75,0.25,0.75,0.75,1.0,0.0,1.8100000000000003,16.0,0.5,0.1,0.75,0.25,,2023-2025,True
