player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,k,ffc_rank,espn_rank,adp_jul,gap,resid_gap
4869,CeeDee Lamb,WR,DAL,10.7,1.11,987,5,19,2.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",ceedee lamb,11.0,9,10.6,2.0,5.890495276293867
4876,Justin Jefferson,WR,MIN,12.4,1.12,1065,5,21,2.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",justin jefferson,12.0,11,10.0,1.0,4.967864190226267
5652,James Cook III,RB,BUF,12.7,2.01,1956,4,22,3.0,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",james cook,13.0,12,13.8,1.0,6.578010176623879
5706,Chase Brown,RB,CIN,13.5,2.01,1520,6,22,2.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",chase brown,14.0,20,15.8,-6.0,-0.34462090944372115
5696,Rashee Rice,WR,KC,14.5,2.03,242,8,22,2.3,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",rashee rice,15.0,16,27.3,-1.0,3.199970932023465
6500,Ashton Jeanty,RB,LV,15.1,2.03,1134,7,23,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",ashton jeanty,16.0,13,12.5,3.0,8.810116918421077
3247,A.J. Brown,WR,NE,17.3,2.05,922,9,25,2.9,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",a j brown,17.0,28,14.2,-11.0,-6.645291240111735
2350,Derrick Henry,RB,BAL,17.4,2.05,830,10,27,2.7,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",derrick henry,18.0,19,15.4,-1.0,4.9648547462858765
5576,George Pickens,WR,DAL,19.6,2.08,495,12,28,2.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",george pickens,19.0,32,17.4,-13.0,-8.490553412246935
2860,Saquon Barkley,RB,PHI,20.2,2.08,2155,10,33,3.6,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",saquon barkley,20.0,18,19.6,2.0,8.119592574150674
6538,Omarion Hampton,RB,LAC,21.3,2.09,1843,10,33,4.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",omarion hampton,21.0,23,17.1,-2.0,4.196961488083074
5207,Nico Collins,WR,HOU,21.7,2.1,600,13,31,3.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",nico collins,22.0,25,23.2,-3.0,1.7415533295502623
5544,Chris Olave,WR,NO,21.9,2.1,370,13,33,3.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",chris olave,23.0,26,21.2,-3.0,1.8189222434826622
5625,Kenneth Walker,RB,KC,23.4,2.11,1933,13,37,3.9,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",kenneth walker,24.0,21,22.6,3.0,9.429068229880272
5675,Zay Flowers,WR,BAL,24.4,2.12,293,16,38,3.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",zay flowers,25.0,34,25.4,-9.0,-4.02633992865254
5548,Garrett Wilson,WR,NYJ,27.2,3.03,273,18,37,3.3,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",garrett wilson,26.0,27,27.0,-1.0,4.05102898527986
6183,Malik Nabers,WR,NYG,27.8,3.04,1446,17,43,4.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",malik nabers,27.0,29,43.6,-2.0,3.12839789921226
4883,DeVonta Smith,WR,PHI,28.4,3.04,986,19,42,3.6,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",devonta smith,28.0,35,28.5,-7.0,-1.7942331868553403
6769,Jeremiyah Love,RB,ARI,28.9,3.05,690,17,44,4.3,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jeremiyah love,29.0,15,22.1,14.0,20.815912799542268
5503,Breece Hall,RB,NYJ,29.5,3.06,399,21,37,3.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",breece hall,30.0,22,30.7,8.0,14.89328171347467
5656,Trey McBride,TE,ARI,30.2,3.06,878,15,50,5.8,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",trey mcbride,31.0,17,29.0,14.0,1.8465092406715993
3255,Josh Jacobs,RB,GB,31.1,3.07,540,19,47,4.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",josh jacobs,32.0,30,28.7,2.0,9.048019541339468
2885,Josh Allen,QB,BUF,31.4,3.07,1319,10,48,8.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",josh allen,33.0,36,28.8,-3.0,-5.514287456869063
5623,Kyren Williams,RB,LAR,31.9,3.08,1006,20,42,4.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",kyren williams,34.0,39,32.7,-5.0,2.2027573692042672
6561,Tetairoa McMillan,WR,CAR,33.4,3.09,569,24,46,3.6,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",tetairoa mcmillan,35.0,33,33.4,2.0,7.747349210671455
6509,Cam Skattebo,RB,NYG,34.7,3.11,501,23,44,4.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",cam skattebo,36.0,40,38.3,-4.0,3.357495197069067
4870,Tee Higgins,WR,CIN,36.0,3.12,726,24,49,4.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",tee higgins,37.0,47,26.4,-10.0,-4.097912961463747
6178,Brock Bowers,TE,LV,36.8,4.01,2011,17,57,7.4,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",brock bowers,38.0,24,36.1,14.0,2.3880916381983948
6576,Emeka Egbuka,WR,TB,37.1,4.01,1937,23,53,5.1,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",emeka egbuka,39.0,43,45.5,-4.0,2.056824866401053
5185,Javonte Williams,RB,DAL,37.9,4.02,1186,25,54,4.9,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",javonte williams,40.0,31,35.0,9.0,16.666970852798663
6281,Ladd McConkey,WR,LAC,39.0,4.03,1569,25,58,5.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",ladd mcconkey,41.0,45,35.3,-4.0,2.211562694265851
2125,Davante Adams,WR,LAR,41.2,4.05,586,29,56,4.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",davante adams,42.0,44,40.0,-2.0,4.288931608198251
4863,Travis Etienne Jr.,RB,NO,41.9,4.06,493,28,54,5.3,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",travis etienne,43.0,38,38.8,5.0,12.899077594595862
5643,Jameson Williams,WR,DET,44.0,4.08,397,32,66,4.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jameson williams,44.0,52,47.2,-8.0,-1.5563305639369496
5178,Jaylen Waddle,WR,DEN,45.5,4.09,1367,31,69,5.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jaylen waddle,45.0,48,42.2,-3.0,3.5210383499954503
6190,Bucky Irving,RB,TB,45.8,4.1,486,32,58,5.0,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",bucky irving,46.0,42,47.2,4.0,12.13118433639306
3449,Terry McLaurin,WR,WAS,46.2,4.1,725,34,63,4.6,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",terry mclaurin,47.5,46,36.6,1.5,8.214460634826448
4862,D'Andre Swift,RB,CHI,46.2,4.1,703,34,59,4.5,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",dandre swift,47.5,65,48.0,-17.5,-9.25276229270834
6194,Rome Odunze,WR,CHI,49.1,5.01,806,35,68,5.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",rome odunze,49.0,49,54.9,0.0,6.830514005725046
6187,Drake Maye,QB,NE,50.1,5.02,380,33,65,6.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",drake maye,50.0,60,64.8,-10.0,-11.199015920018272
2876,DJ Moore,WR,BUF,50.3,5.02,1712,34,75,6.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",dj moore,51.0,53,66.8,-2.0,4.985251833589846
6531,Quinshon Judkins,RB,CLE,51.8,5.04,868,36,65,5.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",quinshon judkins,52.0,41,51.5,11.0,19.595397819987458
2111,Mike Evans,WR,SF,53.4,5.05,941,36,74,6.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",mike evans,53.0,87,51.2,-34.0,-26.860010338545354
6513,Bhayshul Tuten,RB,JAX,54.4,5.06,885,38,69,5.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",bhayshul tuten,54.0,64,61.9,-10.0,-1.2498643521477426
4882,Joe Burrow,QB,CIN,55.8,5.08,553,35,76,7.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",joe burrow,55.0,81,46.9,-26.0,-26.812171350356273
2888,Lamar Jackson,QB,BAL,55.9,5.08,645,35,74,7.7,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",lamar jackson,56.0,58,54.7,-2.0,-2.734802436423875
6501,Colston Loveland,TE,CHI,57.0,5.09,1335,33,80,9.0,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",colston loveland,57.0,50,45.0,7.0,-3.1418989970860167
6559,Luther Burden III,WR,CHI,58.5,5.11,1134,39,83,7.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",luther burden,58.0,54,45.2,4.0,11.526834231116641
5641,Alec Pierce,WR,IND,58.7,5.11,338,41,81,6.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",alec pierce,59.0,74,59.4,-15.0,-7.395796854950959
3238,David Montgomery,RB,HOU,59.0,5.11,1134,38,91,7.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",david montgomery,60.0,67,56.4,-7.0,2.214349131446653
6490,TreVeyon Henderson,RB,NE,60.3,5.12,589,42,84,6.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",treveyon henderson,61.0,69,59.2,-8.0,1.2917180453790529
5360,Christian Watson,WR,GB,61.1,6.01,1450,39,88,8.5,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",christian watson,62.0,88,60.1,-26.0,-18.16369011315376
2862,Courtland Sutton,WR,DEN,61.2,6.01,530,43,83,6.6,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",courtland sutton,63.0,72,74.5,-9.0,-1.086321199221361
5443,Jaylen Warren,RB,PIT,63.1,6.03,189,47,85,6.2,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jaylen warren,64.0,117,66.0,-53.0,-43.47617521282375
6504,Tyler Warren,TE,IND,64.2,6.04,1397,39,87,9.4,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",tyler warren,65.0,51,54.9,14.0,4.47705231437318
3239,DK Metcalf,WR,PIT,64.9,6.05,672,45,85,7.3,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",dk metcalf,66.0,76,56.2,-10.0,-1.8542144574241632
2377,Dak Prescott,QB,DAL,65.4,6.05,408,42,103,8.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",dak prescott,67.5,95,61.6,-27.5,-27.34505992620128
6193,Marvin Harrison Jr.,WR,ARI,65.4,6.05,897,45,83,7.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",marvin harrison,67.5,75,66.1,-7.5,0.7618389134744366
5705,Parker Washington,WR,JAX,65.7,6.06,1425,44,90,8.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",parker washington,69.0,77,72.4,-8.0,0.37789228437303635
3435,Tony Pollard,RB,TEN,67.2,6.07,297,47,90,7.5,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",tony pollard,70.0,119,73.3,-49.0,-39.011961729229355
5210,Rhamondre Stevenson,RB,NE,71.3,6.11,446,52,92,7.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",rhamondre stevenson,71.0,70,70.7,1.0,11.065407184703048
6175,Brian Thomas Jr.,WR,JAX,72.6,7.01,1060,50,99,8.4,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",brian thomas,72.5,91,83.5,-18.5,-9.851316516863566
5854,Jayden Daniels,QB,WAS,72.6,7.01,545,46,110,9.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jayden daniels,72.5,56,87.2,16.5,17.041784643460716
4880,Michael Pittman Jr.,WR,PIT,74.0,7.02,707,54,95,7.6,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",michael pittman,74.5,73,70.8,1.5,10.303421311001234
6768,Carnell Tate,WR,TEN,74.0,7.02,1322,51,103,8.6,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",carnell tate,74.5,55,62.6,19.5,28.303421311001234
4873,Chuba Hubbard,RB,CAR,75.4,7.03,256,53,101,8.6,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",chuba hubbard,76.5,122,80.9,-45.5,-35.009063788668755
5095,Rico Dowdle,RB,PIT,75.4,7.03,388,51,100,9.1,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",rico dowdle,76.5,118,77.9,-41.5,-31.009063788668755
5181,Kyle Pitts Sr.,TE,ATL,77.2,7.05,328,55,99,8.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",kyle pitts,78.0,78,86.8,0.0,-8.517151804505627
6502,Harold Fannin Jr.,TE,CLE,78.2,7.06,176,57,96,8.0,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",harold fannin,79.0,79,69.1,0.0,-8.439782890573227
5721,Michael Wilson,WR,ARI,79.1,7.07,958,56,105,8.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",michael wilson,80.0,90,80.9,-10.0,-0.7710496623705705
5025,Jalen Hurts,QB,PHI,79.6,7.08,614,51,120,11.1,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jalen hurts,81.0,62,94.9,19.0,20.19942041188611
1664,Matthew Stafford,QB,LAR,79.8,7.08,370,47,112,12.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",matthew stafford,82.0,102,103.0,-20.0,-18.723210674181487
6776,Jadarian Price,RB,SEA,82.1,7.1,2274,47,117,13.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jadarian price,83.0,68,75.5,15.0,25.99383415189184
5680,Josh Downs,WR,IND,83.0,7.11,927,60,108,8.7,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",josh downs,85.0,107,85.7,-22.0,-12.384205092708573
5588,Wan'Dale Robinson,WR,TEN,83.9,7.12,539,57,105,10.0,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",wandale robinson,86.5,106,88.2,-19.5,-9.768151721809975
3496,Jakobi Meyers,WR,JAX,86.1,8.02,309,61,105,9.5,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jakobi meyers,88.0,92,98.3,-4.0,5.847901649088627
5564,Sam LaPorta,TE,DET,86.7,8.03,583,50,146,13.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",sam laporta,89.0,80,69.7,9.0,1.3339062487507665
5648,Brock Purdy,QB,SF,88.2,8.04,212,60,115,13.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",brock purdy,91.0,99,100.5,-8.0,-6.026890448789895
5196,Kenny Gainwell,RB,TB,89.5,8.05,535,61,120,10.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",kenny gainwell,93.0,120,101.2,-27.0,-15.232476708784166
6173,Caleb Williams,QB,CHI,91.9,8.08,868,52,138,15.1,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",caleb williams,94.0,104,109.1,-10.0,-7.794783706992696
5674,Quentin Johnston,WR,LAC,92.5,8.08,729,70,120,8.3,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",quentin johnston,95.0,140,100.2,-45.0,-34.61051595338458
5707,Jayden Reed,WR,GB,92.8,8.09,355,70,113,8.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jayden reed,96.0,111,85.1,-15.0,-4.533147039452178
5186,Trevor Lawrence,QB,JAX,92.9,8.09,855,59,129,12.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",trevor lawrence,97.0,93,83.4,4.0,6.4373230348045025
