gsis_id,player,pos,team,adp,adp_rank_pos,board_value,window,seasons_in_window,n_seasons,n_games,n_games_played,n_seasons_partial,share_games_partial,partial_flag,thin_flag,no_nfl_rows,mean,sd,sigma_W,cv,cv_sd,min,p10,p25,median,p75,p90,max,iqr,mad,skew,boom_thresh,bust_thresh,k_boom,k_bust,boom_raw,boom_eb,boom_eb_pop,bust_raw,bust_eb,bust_eb_pop,eb_boom_prior_n,eb_bust_prior_n,eb_degenerate,adv_games,adv_target_share,adv_air_yards_share,adv_adot,adv_adot_nflverse,adv_yac_per_rec,adv_rz_target_share,adv_snap_share,adv_targets_pg,adv_wopr,adv_catch_rate,adv_separation,adv_deep_target_rate,adv_carry_share,adv_touches_pg,adv_ybc_per_att,adv_yac_per_att,adv_box8_rate,adv_ryoe_per_att,adv_gl5_carries_pg,adv_goal_to_go_pg,adv_explosive_run_rate,adv_attempts_pg,adv_epa_per_dropback,adv_cpoe,adv_rush_share_of_ppr,adv_designed_rushes_pg,adv_aggressiveness,adv_sack_rate
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2018,2018,1,12,12,0,0.0,False,False,False,17.238333333333333,11.710251789338134,11.710251789338134,0.6793146160304439,0.6793146160304439,1.94,5.38,8.275,15.07,26.66,28.64,40.46,18.384999999999998,14.247786000000001,0.5610296752513539,20.9,9.7,4.0,4.0,0.3333333333333333,0.32999326227706127,0.32123387849574836,0.3333333333333333,0.25388968249318755,0.2738691106185477,7.570778796571302,14.872375522247607,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0039851,Drake Maye,QB,NE,49.6,2,19.516798543728473,career,2024|2025,2,29,30,0,0.0,False,False,False,18.2448275862069,6.052991362417225,5.366308321031221,0.2941276532033744,0.3317647883388764,2.08,11.712,15.74,17.98,20.84,26.284000000000002,32.44,5.1,3.765804000000001,-0.1278455547777615,20.9,9.7,7.0,1.0,0.2413793103448276,0.2942197295580901,0.2259958880504102,0.034482758620689655,0.09713713688934181,0.0907224102366297,28.24157341393333,29.421644016768074,False,30.0,,,8.39277108433735,,,,,,,,,,,,,,,,0.0666666666666666,,,27.666666666666668,0.1986656017289368,7.55908377750094,0.2326592326592326,1.6666666666666667,16.506024096385524,0.079646017699115
00-0039851,Drake Maye,QB,NE,49.6,2,19.516798543728473,last3,2024|2025,2,29,30,0,0.0,False,False,False,18.2448275862069,6.052991362417225,5.366308321031221,0.2941276532033744,0.3317647883388764,2.08,11.712,15.74,17.98,20.84,26.284000000000002,32.44,5.1,3.765804000000001,-0.1278455547777615,20.9,9.7,7.0,1.0,0.2413793103448276,0.3026015698607917,0.23711067063134353,0.034482758620689655,0.1024613646037872,0.11131669702039769,34.56487412777975,42.932038204276566,False,30.0,,,8.39277108433735,,,,,,,,,,,,,,,,0.0666666666666666,,,27.666666666666668,0.1986656017289368,7.55908377750094,0.2326592326592326,1.6666666666666667,16.506024096385524,0.079646017699115
00-0039851,Drake Maye,QB,NE,49.6,2,19.516798543728473,recent,2025,1,17,17,0,0.0,False,False,False,20.70352941176471,5.388321794836114,5.388321794836114,0.26026102543531626,0.26026102543531626,12.12,15.62,15.96,20.48,23.7,26.676000000000002,32.44,7.739999999999998,6.701351999999999,0.48509079309948516,20.9,9.7,7.0,0.0,0.4117647058823529,0.363473667708849,0.31994411257069727,0.0,0.10831723594997449,0.10166521374108561,8527.95591098266,36.03720408796656,True,30.0,,,8.39277108433735,,,,,,,,,,,,,,,,0.0666666666666666,,,27.666666666666668,0.1986656017289368,7.55908377750094,0.2326592326592326,1.6666666666666667,16.506024096385524,0.079646017699115
00-0039851,Drake Maye,QB,NE,49.6,2,19.516798543728473,season_2025,2025,1,17,17,0,0.0,False,False,False,20.70352941176471,5.388321794836114,5.388321794836114,0.26026102543531626,0.26026102543531626,12.12,15.62,15.96,20.48,23.7,26.676000000000002,32.44,7.739999999999998,6.701351999999999,0.48509079309948516,20.9,9.7,7.0,0.0,0.4117647058823529,0.363473667708849,0.31994411257069727,0.0,0.10831723594997449,0.10166521374108561,8527.95591098266,36.03720408796656,True,30.0,,,8.39277108433735,,,,,,,,,,,,,,,,0.0666666666666666,,,27.666666666666668,0.1986656017289368,7.55908377750094,0.2326592326592326,1.6666666666666667,16.506024096385524,0.079646017699115
00-0039851,Drake Maye,QB,NE,49.6,2,19.516798543728473,season_2024,2024,1,12,13,0,0.0,False,False,False,14.761666666666665,5.334126550861543,5.334126550861544,0.36134988489521586,0.3613498848952158,2.08,10.044,11.7,16.59,18.34,19.51,20.84,6.640000000000001,4.4774519999999995,-1.2306370816419367,20.9,9.7,0.0,1.0,0.0,0.12558894130905726,0.08914571371262037,0.08333333333333333,0.12593332693101542,0.17749519076575893,6.930693313486971,31.040821462540706,False,30.0,,,8.39277108433735,,,,,,,,,,,,,,,,0.0666666666666666,,,27.666666666666668,0.1986656017289368,7.55908377750094,0.2326592326592326,1.6666666666666667,16.506024096385524,0.079646017699115
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,career,2018|2019|2020|2021|2022|2023|2024|2025,8,105,116,0,0.0,False,False,False,22.177333333333333,8.435072416207621,8.009558509832365,0.36115967548694006,0.38034655877807466,4.72,11.6,16.1,21.82,28.18,33.504000000000005,42.62,12.079999999999998,8.776992,0.18351011281481525,20.9,9.7,57.0,6.0,0.5428571428571428,0.5016572420807008,0.5122265054279203,0.05714285714285714,0.07941363394443816,0.07367706417360999,28.24157341393333,29.421644016768074,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,last3,2023|2024|2025,3,46,46,0,0.0,False,False,False,21.227391304347826,8.734790065475112,8.151947968094733,0.3840296648427562,0.41148674089246373,4.72,8.58,14.905000000000001,22.729999999999997,26.84,33.16,36.34,11.934999999999999,9.221771999999994,-0.20724138321685992,20.9,9.7,26.0,5.0,0.5652173913043478,0.4745843782791431,0.4905033458383363,0.10869565217391304,0.12785330261996805,0.14775305590059887,34.56487412777975,42.932038204276566,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,recent,2025,1,13,13,0,0.0,False,False,False,16.52769230769231,9.083921834617243,9.083921834617243,0.5496182809737696,0.5496182809737696,4.72,5.1000000000000005,7.22,16.64,25.56,26.876,29.36,18.34,13.966092000000002,-0.02674981445380434,20.9,9.7,5.0,4.0,0.38461538461538464,0.3634097281059689,0.3085835166848589,0.3076923076923077,0.19872346987487716,0.27213501901253356,8527.95591098266,36.03720408796656,True,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2025,2025,1,13,13,0,0.0,False,False,False,16.52769230769231,9.083921834617243,9.083921834617243,0.5496182809737696,0.5496182809737696,4.72,5.1000000000000005,7.22,16.64,25.56,26.876,29.36,18.34,13.966092000000002,-0.02674981445380434,20.9,9.7,5.0,4.0,0.38461538461538464,0.3634097281059689,0.3085835166848589,0.3076923076923077,0.19872346987487716,0.27213501901253356,8527.95591098266,36.03720408796656,True,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2024,2024,1,17,17,0,0.0,False,False,False,25.316470588235294,6.190469430076034,6.190469430076033,0.24452339865070996,0.24452339865071002,14.88,17.904,22.58,24.16,29.42,33.828,36.1,6.840000000000003,5.4559679999999995,0.23326051724974314,20.9,9.7,13.0,0.0,0.7647058823529411,0.6425842130875817,0.6313838463078258,0.0,0.0920107880350935,0.14666250710919548,6.930693313486971,31.040821462540706,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2023,2023,1,16,16,0,0.0,False,False,False,20.701249999999998,9.143926126123286,9.143926126123286,0.4417088884064145,0.4417088884064145,6.56,10.71,12.76,20.56,28.15,32.760000000000005,36.34,15.389999999999999,11.26776,0.20788298384806894,20.9,9.7,8.0,1.0,0.5,0.4148954470071195,0.39429266419091147,0.0625,0.10576774330835308,0.12538602652978156,22.61126734835877,40.834339800207644,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2022,2022,1,11,12,0,0.0,False,False,False,21.34,10.420445287990336,10.420445287990335,0.4883057773191347,0.48830577731913477,10.7,13.06,15.11,17.52,22.439999999999998,39.42,42.62,7.329999999999998,6.37518,1.413970175438148,20.9,9.7,4.0,0.0,0.36363636363636365,0.35960940727002394,0.31780637192186395,0.0,0.048790971218436105,0.09753507077529439,5.3881567551227425,7.178034828469997,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2021,2021,1,11,12,0,0.0,False,False,False,21.709090909090907,9.648877089636342,9.648877089636342,0.4444625125041866,0.4444625125041866,9.4,11.78,16.52,19.28,26.86,32.26,41.88,10.34,5.722836000000002,0.9331133768786969,20.9,9.7,4.0,1.0,0.36363636363636365,0.3620709643216663,0.33000092648035906,0.09090909090909091,0.13721799213528366,0.15390342925429468,9.381275654031974,11.352905245925415,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2020,2020,1,15,15,0,0.0,False,False,False,22.185333333333332,6.336472505229057,6.336472505229059,0.2856153842732012,0.2856153842732011,13.5,14.436,17.049999999999997,21.46,26.59,28.828,34.92,9.540000000000003,7.294392000000002,0.3127841352255912,20.9,9.7,9.0,0.0,0.6,0.5283526160038352,0.49836323513852987,0.0,0.058703039073835485,0.09263734727502088,7.299144982369958,10.443343801163381,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2019,2019,1,15,15,0,0.0,False,False,False,27.711999999999996,7.095994040905857,7.0959940409058575,0.2560621406216029,0.2560621406216028,11.44,20.392,22.810000000000002,29.82,33.1,35.18,37.08,10.29,7.917083999999999,-0.7651081377493323,20.9,9.7,13.0,0.0,0.8666666666666667,0.7206608924333385,0.6580849524620045,0.0,0.09241058054640895,0.06442877148350895,7.118910889230529,62.438947738841485,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0034796,Lamar Jackson,QB,BAL,52.8,3,19.516798543728473,season_2018,2018,1,7,16,0,0.0,False,True,False,18.594285714285714,3.683055150020868,3.683055150020868,0.1980745701455599,0.1980745701455599,,,,,,,,,,,20.9,9.7,1.0,0.0,0.14285714285714285,0.23733975984846256,0.2489753869252555,0.0,0.12904948922032305,0.14710385441196822,7.570778796571302,14.872375522247607,False,46.0,,,8.59448499594485,,,,,,,,,,,,,,,,0.1304347826086956,,,26.804347826086957,0.2048215289651986,3.467641720540413,0.2811175060934395,4.630434782608695,11.354420113544206,0.0656634746922024
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,career,2020|2021|2022|2023|2024|2025,6,77,77,3,0.36363636363636365,True,False,False,19.390909090909094,8.308537489553203,8.154178760315359,0.42051554788311735,0.4284759136665974,3.18,8.508000000000001,13.8,18.86,23.5,31.024000000000015,39.24,9.7,7.501955999999998,0.31936745232432423,20.9,9.7,29.0,11.0,0.37662337662337664,0.3690708813004561,0.35465848244462556,0.14285714285714285,0.1472906322485247,0.15860067868784058,28.24157341393333,29.421644016768074,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,last3,2023|2024|2025,3,35,35,2,0.5142857142857142,True,False,False,18.698285714285717,8.814866281630438,8.435536223541245,0.451139551103147,0.47142644070818607,3.18,7.448,12.92,19.26,23.97,29.1,36.98,11.049999999999999,9.043859999999997,0.11230345131759145,20.9,9.7,14.0,8.0,0.4,0.37712755220228694,0.35312441076835593,0.22857142857142856,0.18439469984699253,0.24649156882430792,34.56487412777975,42.932038204276566,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,recent,2025,1,8,8,1,1.0,True,False,False,16.807499999999997,8.579676567330496,8.579676567330496,0.510467146650632,0.510467146650632,5.5,6.578,8.375,19.82,21.695,25.04,28.96,13.32,9.399683999999999,-0.20179870759967977,20.9,9.7,3.0,3.0,0.375,0.3633882950806138,0.3007563119616399,0.375,0.1985785321850805,0.2894335049604277,8527.95591098266,36.03720408796656,True,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2025,2025,1,8,8,1,1.0,True,False,False,16.807499999999997,8.579676567330496,8.579676567330496,0.510467146650632,0.510467146650632,5.5,6.578,8.375,19.82,21.695,25.04,28.96,13.32,9.399683999999999,-0.20179870759967977,20.9,9.7,3.0,3.0,0.375,0.3633882950806138,0.3007563119616399,0.375,0.1985785321850805,0.2894335049604277,8527.95591098266,36.03720408796656,True,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2024,2024,1,17,17,0,0.0,False,False,False,21.930588235294117,8.375371984715242,8.375371984715244,0.3819036632695648,0.3819036632695647,8.06,12.932,16.28,19.82,29.04,33.744,36.98,12.759999999999998,8.213603999999998,0.31160484191250265,20.9,9.7,8.0,1.0,0.47058823529411764,0.4336475168330659,0.41542621963209625,0.058823529411764705,0.11282641877487465,0.1629979118564817,6.930693313486971,31.040821462540706,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2023,2023,1,10,10,1,1.0,True,False,False,14.716000000000003,8.429043968459425,8.429043968459426,0.5727809165846307,0.5727809165846306,3.18,4.548,8.305,14.59,21.71,23.804,27.62,13.405000000000001,10.496808,0.07902273964879827,20.9,9.7,3.0,4.0,0.3,0.3379089474903003,0.27336945641554,0.4,0.17726678262183843,0.3461370893343176,22.61126734835877,40.834339800207644,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2022,2022,1,16,16,0,0.0,False,False,False,21.91875,7.346445739267391,7.346445739267391,0.3351671851390883,0.3351671851390883,11.6,15.02,17.1,19.61,25.275,31.27,39.24,8.174999999999997,5.396664,0.9242855582680156,20.9,9.7,7.0,0.0,0.4375,0.4158065343722459,0.3834043413150508,0.0,0.03826571064748699,0.08048422547676912,5.3881567551227425,7.178034828469997,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2021,2021,1,16,16,0,0.0,False,False,False,19.64,8.444756953281724,8.444756953281724,0.4299774416131224,0.4299774416131224,7.38,9.649999999999999,15.495,18.490000000000002,22.45,30.740000000000002,38.1,6.955,6.063833999999996,0.7537005029722675,20.9,9.7,6.0,2.0,0.375,0.36954281802108996,0.34366475622365494,0.125,0.1486942882179582,0.16137217701718887,9.381275654031974,11.352905245925415,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0036442,Joe Burrow,QB,CIN,57.8,4,19.516798543728473,season_2020,2020,1,10,10,1,1.0,True,False,False,17.372,7.919787875947184,7.919787875947184,0.45589384503495184,0.45589384503495184,4.32,10.620000000000001,13.165,16.52,20.0,25.449999999999996,33.64,6.835000000000001,5.826617999999999,0.5959717843362536,20.9,9.7,2.0,1.0,0.2,0.2764189554430141,0.2702567077167661,0.1,0.12197621042731861,0.13843812567986444,7.299144982369958,10.443343801163381,False,35.0,,,6.919278996865204,,,,,,,,,,,,,,,,0.1142857142857142,,,36.457142857142856,0.1281182841075987,4.76725018767681,0.0687610781737057,1.2285714285714286,14.655172413793084,0.0632551528073916
00-0033077,Dak Prescott,QB,DAL,67.3,5,19.516798543728473,career,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,10,139,139,2,0.09352517985611511,True,False,False,18.698992805755395,8.48718567708632,8.40844207741093,0.44967352866315247,0.45388464315971255,-1.2,6.844,12.84,18.62,25.23,29.54,39.8,12.39,9.34038,-0.03985902622790741,20.9,9.7,55.0,22.0,0.39568345323741005,0.3877122112983237,0.3816374441538359,0.15827338129496402,0.15838172930731775,0.16663795290097402,28.24157341393333,29.421644016768074,False,42.0,,,7.898373983739837,,,,,,,,,,,,,,,,0.0952380952380952,,,35.142857142857146,0.1584647936291967,2.298437536341473,0.0999818920247303,1.4761904761904765,19.44444444444445,0.0561381863047501
00-0033077,Dak Prescott,QB,DAL,67.3,5,19.516798543728473,last3,2023|2024|2025,3,42,42,1,0.19047619047619047,True,False,False,18.40809523809524,8.68281966062875,8.653221808213504,0.47007697951854405,0.47168485105725677,0.7,6.3500000000000005,12.47,18.53,24.74,28.352,37.86,12.269999999999998,9.310728,-0.03239360375259569,20.9,9.7,16.0,7.0,0.38095238095238093,0.3687700269963017,0.34455659069174005,0.16666666666666666,0.15742298284404885,0.1958739899223864,34.56487412777975,42.932038204276566,False,42.0,,,7.898373983739837,,,,,,,,,,,,,,,,0.0952380952380952,,,35.142857142857146,0.1584647936291967,2.298437536341473,0.0999818920247303,1.4761904761904765,19.44444444444445,0.0561381863047501
