anchor,key,name,pos,p_surv,survived
31,cj stroud,C.J. Stroud,QB,0.9995,1
31,jalen coker,Jalen Coker,WR,0.9945,1
31,ricky pearsall,Ricky Pearsall,WR,0.9965,1
31,rashid shaheed,Rashid Shaheed,WR,0.9955,1
31,john metchie,John Metchie III,WR,0.997,1
31,jauan jennings,Jauan Jennings,WR,0.9955,1
31,rj harvey,RJ Harvey,RB,0.9945,1
31,rachaad white,Rachaad White,RB,0.991,1
31,kyle monangai,Kyle Monangai,RB,0.9925,1
31,jalen mcmillan,Jalen McMillan,WR,0.997,1
31,denzel boston,Denzel Boston,WR,0.9965,1
31,jakobi lane,Ja'Kobi Lane,WR,0.9955,1
31,dezhaun stribling,De'Zhaun Stribling,WR,0.9975,1
31,antonio williams,Antonio Williams,WR,0.9975,1
31,kenny gainwell,Kenny Gainwell,RB,0.994,1
31,aaron jones,Aaron Jones Sr.,RB,0.996,1
31,rashod bateman,Rashod Bateman,WR,0.9965,1
31,jk dobbins,J.K. Dobbins,RB,0.998,1
31,malik washington,Malik Washington,WR,0.998,1
31,jacory croskey merritt,Jacory Croskey-Merritt,RB,0.9965,1
31,jonathon brooks,Jonathon Brooks,RB,0.9975,1
31,sam darnold,Sam Darnold,QB,0.9995,1
31,kyler murray,Kyler Murray,QB,1.0,1
31,tank dell,Tank Dell,WR,0.999,1
31,harold fannin,Harold Fannin Jr.,TE,0.938,1
31,daniel jones,Daniel Jones,QB,1.0,1
31,malik willis,Malik Willis,QB,1.0,1
31,travis kelce,Travis Kelce,TE,0.9275,1
31,sam laporta,Sam LaPorta,TE,0.952,1
31,kyle pitts,Kyle Pitts,TE,0.9475,1
31,isaac teslaa,Isaac TeSlaa,WR,0.999,1
31,travis hunter,Travis Hunter,WR,1.0,1
31,jake ferguson,Jake Ferguson,TE,0.963,1
31,blake corum,Blake Corum,RB,0.9995,1
31,dallas goedert,Dallas Goedert,TE,0.9605,1
31,germie bernard,Germie Bernard,WR,0.9995,1
31,cyrus allen,Cyrus Allen,WR,0.9995,1
31,jordan mason,Jordan Mason,RB,0.9995,1
31,tyjae spears,Tyjae Spears,RB,0.9985,1
31,mark andrews,Mark Andrews,TE,0.9745,1
31,george kittle,George Kittle,TE,0.966,1
31,adonai mitchell,Adonai Mitchell,WR,0.9995,1
31,jalen nailor,Jalen Nailor,WR,0.9995,1
31,cooper kupp,Cooper Kupp,WR,0.9995,1
31,kenyon sadiq,Kenyon Sadiq,TE,0.9775,1
31,oronde gadsden,Oronde Gadsden II,TE,0.977,1
31,tucker kraft,Tucker Kraft,TE,0.9795,1
31,isaiah likely,Isaiah Likely,TE,0.9835,1
31,tory horton,Tory Horton,WR,1.0,1
31,zachariah branch,Zachariah Branch,WR,1.0,1
31,omar cooper,Omar Cooper Jr.,WR,0.9995,1
31,woody marks,Woody Marks,RB,0.9995,1
31,jaydon blue,Jaydon Blue,RB,1.0,1
31,kaelon black,Kaelon Black,RB,0.9995,1
31,nicholas singleton,Nicholas Singleton,RB,1.0,1
31,mike washington,Mike Washington Jr.,RB,0.999,1
31,dylan sampson,Dylan Sampson,RB,0.9995,1
31,emmett johnson,Emmett Johnson,RB,0.9985,1
31,jordan james,Jordan James,RB,0.999,1
31,demond claiborne,Demond Claiborne,RB,1.0,1
31,dalton schultz,Dalton Schultz,TE,0.984,1
31,tyrone tracy,Tyrone Tracy Jr.,RB,0.999,1
31,darnell mooney,Darnell Mooney,WR,1.0,1
31,juwan johnson,Juwan Johnson,TE,0.9865,1
31,hunter henry,Hunter Henry,TE,0.9885,1
31,zach charbonnet,Zach Charbonnet,RB,0.999,1
31,pat freiermuth,Pat Freiermuth,TE,0.99,1
31,tyler allgeier,Tyler Allgeier,RB,1.0,1
31,samaje perine,Samaje Perine,RB,0.9995,1
31,tyquan thornton,Tyquan Thornton,WR,0.9985,1
31,christian kirk,Christian Kirk,WR,0.999,1
31,ryan flournoy,Ryan Flournoy,WR,1.0,1
31,dontayvion wicks,Dontayvion Wicks,WR,1.0,1
31,kayshon boutte,Kayshon Boutte,WR,0.998,1
31,brian robinson,Brian Robinson Jr.,RB,0.9995,1
31,tj hockenson,T.J. Hockenson,TE,0.9865,1
31,dalton kincaid,Dalton Kincaid,TE,0.99,1
31,ray davis,Ray Davis,RB,0.9995,1
31,isiah pacheco,Isiah Pacheco,RB,1.0,1
31,tank bigsby,Tank Bigsby,RB,0.9995,1
31,chris rodriguez,Chris Rodriguez Jr.,RB,0.999,1
31,keaton mitchell,Keaton Mitchell,RB,1.0,1
31,alvin kamara,Alvin Kamara,RB,0.999,1
31,emari demercado,Emari Demercado,RB,1.0,1
31,justice hill,Justice Hill,RB,0.9995,1
31,james conner,James Conner,RB,1.0,1
31,aj dillon,AJ Dillon,RB,1.0,1
31,ty johnson,Ty Johnson,RB,0.9995,1
31,kimani vidal,Kimani Vidal,RB,1.0,1
31,brenton strange,Brenton Strange,TE,1.0,1
31,chig okonkwo,Chig Okonkwo,TE,1.0,1
41,travis etienne,Travis Etienne Jr.,RB,0.0,0
41,davante adams,Davante Adams,WR,0.0005,0
41,garrett wilson,Garrett Wilson,WR,0.12,0
41,cam skattebo,Cam Skattebo,RB,0.164,0
41,drake maye,Drake Maye,QB,0.816,0
41,dj moore,DJ Moore,WR,0.2265,1
41,lamar jackson,Lamar Jackson,QB,0.8315,0
41,terry mclaurin,Terry McLaurin,WR,0.375,1
41,jaylen waddle,Jaylen Waddle,WR,0.3995,0
41,dk metcalf,DK Metcalf,WR,0.429,1
41,rome odunze,Rome Odunze,WR,0.4365,1
41,dak prescott,Dak Prescott,QB,0.919,1
41,jameson williams,Jameson Williams,WR,0.5285,0
41,joe burrow,Joe Burrow,QB,0.946,1
41,wandale robinson,Wan'Dale Robinson,WR,0.627,1
41,michael pittman,Michael Pittman Jr.,WR,0.6315,1
41,mike evans,Mike Evans,WR,0.6355,1
41,jakobi meyers,Jakobi Meyers,WR,0.649,1
41,marvin harrison,Marvin Harrison Jr.,WR,0.722,1
41,carnell tate,Carnell Tate,WR,0.727,1
41,christian watson,Christian Watson,WR,0.7365,1
41,dandre swift,D'Andre Swift,RB,0.756,0
41,courtland sutton,Courtland Sutton,WR,0.743,1
41,quentin johnston,Quentin Johnston,WR,0.7725,1
41,patrick mahomes,Patrick Mahomes,QB,0.971,1
41,bo nix,Bo Nix,QB,0.9725,1
41,jalen hurts,Jalen Hurts,QB,0.97,1
41,quinshon judkins,Quinshon Judkins,RB,0.837,1
41,jared goff,Jared Goff,QB,0.977,1
41,parker washington,Parker Washington,WR,0.814,1
41,jaxson dart,Jaxson Dart,QB,0.9815,1
41,caleb williams,Caleb Williams,QB,0.9795,1
41,matthew stafford,Matthew Stafford,QB,0.9785,1
41,justin herbert,Justin Herbert,QB,0.9765,1
41,bucky irving,Bucky Irving,RB,0.873,0
41,trevor lawrence,Trevor Lawrence,QB,0.978,1
41,alec pierce,Alec Pierce,WR,0.8755,1
41,bhayshul tuten,Bhayshul Tuten,RB,0.9025,0
41,treveyon henderson,TreVeyon Henderson,RB,0.9,1
41,david montgomery,David Montgomery,RB,0.923,0
41,brian thomas,Brian Thomas Jr.,WR,0.923,1
41,jaylen warren,Jaylen Warren,RB,0.9455,1
41,tony pollard,Tony Pollard,RB,0.932,1
41,stefon diggs,Stefon Diggs,WR,0.929,1
41,jadarian price,Jadarian Price,RB,0.9275,1
41,josh downs,Josh Downs,WR,0.934,1
41,jordyn tyson,Jordyn Tyson,WR,0.9365,1
41,brock purdy,Brock Purdy,QB,0.9905,1
41,jayden daniels,Jayden Daniels,QB,0.9905,0
41,chuba hubbard,Chuba Hubbard,RB,0.953,1
41,michael wilson,Michael Wilson,WR,0.939,1
41,rico dowdle,Rico Dowdle,RB,0.95,1
41,jordan addison,Jordan Addison,WR,0.948,1
41,deebo samuel,Deebo Samuel Sr.,WR,0.9455,1
41,jayden reed,Jayden Reed,WR,0.954,1
41,chris godwin,Chris Godwin Jr.,WR,0.962,1
41,khalil shakir,Khalil Shakir,WR,0.963,1
41,xavier worthy,Xavier Worthy,WR,0.953,1
41,rhamondre stevenson,Rhamondre Stevenson,RB,0.9565,1
41,baker mayfield,Baker Mayfield,QB,0.997,1
41,jayden higgins,Jayden Higgins,WR,0.984,1
41,makai lemon,Makai Lemon,WR,0.9815,1
41,matthew golden,Matthew Golden,WR,0.9705,1
41,kc concepcion,KC Concepcion,WR,0.9735,1
41,theo wease,Theo Wease Jr.,WR,0.972,1
41,colston loveland,Colston Loveland,TE,0.633,0
41,tyler warren,Tyler Warren,TE,0.61,0
41,jerry jeudy,Jerry Jeudy,WR,0.972,1
41,romeo doubs,Romeo Doubs,WR,0.9755,1
41,tyler shough,Tyler Shough,QB,0.9965,1
41,tre tucker,Tre Tucker,WR,0.9815,1
41,calvin ridley,Calvin Ridley,WR,0.985,1
41,jordan love,Jordan Love,QB,0.9985,1
41,cj stroud,C.J. Stroud,QB,0.998,1
41,jalen coker,Jalen Coker,WR,0.984,1
41,ricky pearsall,Ricky Pearsall,WR,0.9805,1
41,rashid shaheed,Rashid Shaheed,WR,0.985,1
41,john metchie,John Metchie III,WR,0.9775,1
41,jauan jennings,Jauan Jennings,WR,0.984,1
41,rj harvey,RJ Harvey,RB,0.989,1
41,rachaad white,Rachaad White,RB,0.9885,1
41,kyle monangai,Kyle Monangai,RB,0.989,1
41,jalen mcmillan,Jalen McMillan,WR,0.9835,1
41,denzel boston,Denzel Boston,WR,0.9925,1
41,jakobi lane,Ja'Kobi Lane,WR,0.9895,1
41,dezhaun stribling,De'Zhaun Stribling,WR,0.99,1
41,antonio williams,Antonio Williams,WR,0.9895,1
41,kenny gainwell,Kenny Gainwell,RB,0.9915,1
41,aaron jones,Aaron Jones Sr.,RB,0.9955,1
41,rashod bateman,Rashod Bateman,WR,0.993,1
41,jk dobbins,J.K. Dobbins,RB,0.993,1
41,malik washington,Malik Washington,WR,0.99,1
41,jacory croskey merritt,Jacory Croskey-Merritt,RB,0.995,1
41,jonathon brooks,Jonathon Brooks,RB,0.9945,1
41,sam darnold,Sam Darnold,QB,0.998,1
41,kyler murray,Kyler Murray,QB,0.9995,1
41,tank dell,Tank Dell,WR,0.9965,1
41,harold fannin,Harold Fannin Jr.,TE,0.909,1
41,daniel jones,Daniel Jones,QB,0.999,1
41,malik willis,Malik Willis,QB,1.0,1
41,travis kelce,Travis Kelce,TE,0.9045,1
41,sam laporta,Sam LaPorta,TE,0.928,1
41,kyle pitts,Kyle Pitts,TE,0.9185,1
41,isaac teslaa,Isaac TeSlaa,WR,0.9965,1
41,travis hunter,Travis Hunter,WR,0.997,1
41,jake ferguson,Jake Ferguson,TE,0.949,1
41,blake corum,Blake Corum,RB,0.9985,1
41,dallas goedert,Dallas Goedert,TE,0.9515,1
41,germie bernard,Germie Bernard,WR,0.9975,1
41,cyrus allen,Cyrus Allen,WR,0.997,1
41,jordan mason,Jordan Mason,RB,0.9975,1
41,tyjae spears,Tyjae Spears,RB,0.9985,1
41,mark andrews,Mark Andrews,TE,0.9495,1
41,george kittle,George Kittle,TE,0.958,1
41,adonai mitchell,Adonai Mitchell,WR,0.9995,1
41,jalen nailor,Jalen Nailor,WR,0.9985,1
41,cooper kupp,Cooper Kupp,WR,0.998,1
41,kenyon sadiq,Kenyon Sadiq,TE,0.964,1
41,oronde gadsden,Oronde Gadsden II,TE,0.9635,1
41,tucker kraft,Tucker Kraft,TE,0.966,1
41,isaiah likely,Isaiah Likely,TE,0.957,1
41,tory horton,Tory Horton,WR,0.9975,1
41,zachariah branch,Zachariah Branch,WR,0.9995,1
41,omar cooper,Omar Cooper Jr.,WR,0.9985,1
41,woody marks,Woody Marks,RB,1.0,1
41,jaydon blue,Jaydon Blue,RB,0.9995,1
41,kaelon black,Kaelon Black,RB,1.0,1
41,nicholas singleton,Nicholas Singleton,RB,0.9995,1
41,mike washington,Mike Washington Jr.,RB,0.998,1
41,dylan sampson,Dylan Sampson,RB,0.998,1
41,emmett johnson,Emmett Johnson,RB,0.9975,1
41,jordan james,Jordan James,RB,0.9995,1
41,demond claiborne,Demond Claiborne,RB,0.9985,1
41,dalton schultz,Dalton Schultz,TE,0.973,1
41,tyrone tracy,Tyrone Tracy Jr.,RB,1.0,1
41,darnell mooney,Darnell Mooney,WR,0.999,1
41,juwan johnson,Juwan Johnson,TE,0.978,1
41,hunter henry,Hunter Henry,TE,0.9805,1
41,zach charbonnet,Zach Charbonnet,RB,0.9995,1
41,pat freiermuth,Pat Freiermuth,TE,0.9825,1
41,tyler allgeier,Tyler Allgeier,RB,0.9975,1
41,samaje perine,Samaje Perine,RB,0.999,1
41,tyquan thornton,Tyquan Thornton,WR,0.9985,1
41,christian kirk,Christian Kirk,WR,1.0,1
41,ryan flournoy,Ryan Flournoy,WR,0.9985,1
41,dontayvion wicks,Dontayvion Wicks,WR,1.0,1
41,kayshon boutte,Kayshon Boutte,WR,0.9995,1
41,brian robinson,Brian Robinson Jr.,RB,0.9995,1
41,tj hockenson,T.J. Hockenson,TE,0.986,1
41,dalton kincaid,Dalton Kincaid,TE,0.9845,1
41,ray davis,Ray Davis,RB,0.999,1
41,isiah pacheco,Isiah Pacheco,RB,1.0,1
41,tank bigsby,Tank Bigsby,RB,1.0,1
41,chris rodriguez,Chris Rodriguez Jr.,RB,1.0,1
41,keaton mitchell,Keaton Mitchell,RB,0.9995,1
41,alvin kamara,Alvin Kamara,RB,0.999,1
41,emari demercado,Emari Demercado,RB,0.9985,1
41,justice hill,Justice Hill,RB,0.999,1
41,james conner,James Conner,RB,0.9995,1
41,aj dillon,AJ Dillon,RB,0.9995,1
41,ty johnson,Ty Johnson,RB,1.0,1
41,kimani vidal,Kimani Vidal,RB,1.0,1
41,brenton strange,Brenton Strange,TE,0.999,1
41,chig okonkwo,Chig Okonkwo,TE,0.9995,1
51,davante adams,Davante Adams,WR,0.002,0
51,dj moore,DJ Moore,WR,0.3095,0
51,terry mclaurin,Terry McLaurin,WR,0.4775,0
51,dk metcalf,DK Metcalf,WR,0.5295,1
51,rome odunze,Rome Odunze,WR,0.519,0
51,dak prescott,Dak Prescott,QB,0.6005,1
51,jameson williams,Jameson Williams,WR,0.5985,0
51,joe burrow,Joe Burrow,QB,0.689,0
51,wandale robinson,Wan'Dale Robinson,WR,0.691,1
51,michael pittman,Michael Pittman Jr.,WR,0.6835,1
51,mike evans,Mike Evans,WR,0.6775,0
51,jakobi meyers,Jakobi Meyers,WR,0.6935,1
51,marvin harrison,Marvin Harrison Jr.,WR,0.725,1
51,carnell tate,Carnell Tate,WR,0.7375,0
51,christian watson,Christian Watson,WR,0.7595,0
51,dandre swift,D'Andre Swift,RB,0.4725,0
51,courtland sutton,Courtland Sutton,WR,0.776,1
51,quentin johnston,Quentin Johnston,WR,0.7815,1
51,patrick mahomes,Patrick Mahomes,QB,0.8285,1
51,bo nix,Bo Nix,QB,0.8325,1
51,jalen hurts,Jalen Hurts,QB,0.836,1
51,quinshon judkins,Quinshon Judkins,RB,0.5735,0
51,jared goff,Jared Goff,QB,0.8565,1
51,parker washington,Parker Washington,WR,0.8275,1
51,jaxson dart,Jaxson Dart,QB,0.859,1
51,caleb williams,Caleb Williams,QB,0.87,1
51,matthew stafford,Matthew Stafford,QB,0.872,1
51,justin herbert,Justin Herbert,QB,0.875,1
51,trevor lawrence,Trevor Lawrence,QB,0.8875,1
51,alec pierce,Alec Pierce,WR,0.8865,1
51,treveyon henderson,TreVeyon Henderson,RB,0.7185,0
51,brian thomas,Brian Thomas Jr.,WR,0.9065,1
51,jaylen warren,Jaylen Warren,RB,0.784,1
51,tony pollard,Tony Pollard,RB,0.8125,1
51,stefon diggs,Stefon Diggs,WR,0.9305,1
51,jadarian price,Jadarian Price,RB,0.8055,0
51,josh downs,Josh Downs,WR,0.929,1
51,jordyn tyson,Jordyn Tyson,WR,0.9355,1
51,brock purdy,Brock Purdy,QB,0.9475,1
51,jayden daniels,Jayden Daniels,QB,0.9545,0
51,chuba hubbard,Chuba Hubbard,RB,0.858,1
51,michael wilson,Michael Wilson,WR,0.9455,1
51,rico dowdle,Rico Dowdle,RB,0.846,1
51,jordan addison,Jordan Addison,WR,0.9465,1
51,deebo samuel,Deebo Samuel Sr.,WR,0.954,1
51,jayden reed,Jayden Reed,WR,0.958,1
51,chris godwin,Chris Godwin Jr.,WR,0.9575,1
51,khalil shakir,Khalil Shakir,WR,0.9525,1
51,xavier worthy,Xavier Worthy,WR,0.9575,1
51,rhamondre stevenson,Rhamondre Stevenson,RB,0.904,1
51,baker mayfield,Baker Mayfield,QB,0.9745,1
51,jayden higgins,Jayden Higgins,WR,0.974,1
51,makai lemon,Makai Lemon,WR,0.976,1
51,matthew golden,Matthew Golden,WR,0.971,1
51,kc concepcion,KC Concepcion,WR,0.9805,1
51,theo wease,Theo Wease Jr.,WR,0.972,1
51,tyler warren,Tyler Warren,TE,0.341,0
51,jerry jeudy,Jerry Jeudy,WR,0.9735,1
51,romeo doubs,Romeo Doubs,WR,0.979,1
51,tyler shough,Tyler Shough,QB,0.9775,1
51,tre tucker,Tre Tucker,WR,0.9835,1
51,calvin ridley,Calvin Ridley,WR,0.9785,1
51,jordan love,Jordan Love,QB,0.9895,1
51,cj stroud,C.J. Stroud,QB,0.988,1
51,jalen coker,Jalen Coker,WR,0.98,1
51,ricky pearsall,Ricky Pearsall,WR,0.9785,1
51,rashid shaheed,Rashid Shaheed,WR,0.9785,1
51,john metchie,John Metchie III,WR,0.98,1
51,jauan jennings,Jauan Jennings,WR,0.9815,1
51,rj harvey,RJ Harvey,RB,0.9555,1
51,rachaad white,Rachaad White,RB,0.954,1
51,kyle monangai,Kyle Monangai,RB,0.962,1
51,jalen mcmillan,Jalen McMillan,WR,0.9875,1
51,denzel boston,Denzel Boston,WR,0.984,1
51,jakobi lane,Ja'Kobi Lane,WR,0.9865,1
51,dezhaun stribling,De'Zhaun Stribling,WR,0.991,1
51,antonio williams,Antonio Williams,WR,0.987,1
51,kenny gainwell,Kenny Gainwell,RB,0.9715,1
51,aaron jones,Aaron Jones Sr.,RB,0.9725,1
51,rashod bateman,Rashod Bateman,WR,0.9895,1
51,jk dobbins,J.K. Dobbins,RB,0.979,1
51,malik washington,Malik Washington,WR,0.991,1
51,jacory croskey merritt,Jacory Croskey-Merritt,RB,0.975,1
51,jonathon brooks,Jonathon Brooks,RB,0.979,1
51,sam darnold,Sam Darnold,QB,0.992,1
51,kyler murray,Kyler Murray,QB,0.994,1
51,tank dell,Tank Dell,WR,0.993,1
51,harold fannin,Harold Fannin Jr.,TE,0.759,1
51,daniel jones,Daniel Jones,QB,0.9915,1
51,malik willis,Malik Willis,QB,0.9925,1
51,travis kelce,Travis Kelce,TE,0.775,1
51,sam laporta,Sam LaPorta,TE,0.82,1
51,kyle pitts,Kyle Pitts,TE,0.813,1
51,isaac teslaa,Isaac TeSlaa,WR,0.997,1
51,travis hunter,Travis Hunter,WR,0.9975,1
51,jake ferguson,Jake Ferguson,TE,0.8575,1
51,blake corum,Blake Corum,RB,0.9895,1
51,dallas goedert,Dallas Goedert,TE,0.8765,1
51,germie bernard,Germie Bernard,WR,0.9955,1
51,cyrus allen,Cyrus Allen,WR,0.9965,1
51,jordan mason,Jordan Mason,RB,0.991,1
51,tyjae spears,Tyjae Spears,RB,0.986,1
51,mark andrews,Mark Andrews,TE,0.8835,1
51,george kittle,George Kittle,TE,0.903,1
51,adonai mitchell,Adonai Mitchell,WR,0.9955,1
51,jalen nailor,Jalen Nailor,WR,0.996,1
51,cooper kupp,Cooper Kupp,WR,0.998,1
51,kenyon sadiq,Kenyon Sadiq,TE,0.9025,1
51,oronde gadsden,Oronde Gadsden II,TE,0.918,1
51,tucker kraft,Tucker Kraft,TE,0.903,1
51,isaiah likely,Isaiah Likely,TE,0.9025,1
51,tory horton,Tory Horton,WR,0.999,1
51,zachariah branch,Zachariah Branch,WR,0.996,1
51,omar cooper,Omar Cooper Jr.,WR,0.999,1
51,woody marks,Woody Marks,RB,0.9945,1
51,jaydon blue,Jaydon Blue,RB,0.993,1
51,kaelon black,Kaelon Black,RB,0.995,1
51,nicholas singleton,Nicholas Singleton,RB,0.994,1
51,mike washington,Mike Washington Jr.,RB,0.992,1
51,dylan sampson,Dylan Sampson,RB,0.9945,1
51,emmett johnson,Emmett Johnson,RB,0.991,1
51,jordan james,Jordan James,RB,0.994,1
51,demond claiborne,Demond Claiborne,RB,0.994,1
51,dalton schultz,Dalton Schultz,TE,0.934,1
51,tyrone tracy,Tyrone Tracy Jr.,RB,0.9975,1
51,darnell mooney,Darnell Mooney,WR,0.995,1
51,juwan johnson,Juwan Johnson,TE,0.9295,1
51,hunter henry,Hunter Henry,TE,0.9405,1
51,zach charbonnet,Zach Charbonnet,RB,0.9965,1
51,pat freiermuth,Pat Freiermuth,TE,0.95,1
51,tyler allgeier,Tyler Allgeier,RB,0.9965,1
51,samaje perine,Samaje Perine,RB,0.998,1
51,tyquan thornton,Tyquan Thornton,WR,0.9985,1
51,christian kirk,Christian Kirk,WR,0.998,1
51,ryan flournoy,Ryan Flournoy,WR,1.0,1
51,dontayvion wicks,Dontayvion Wicks,WR,0.9975,1
51,kayshon boutte,Kayshon Boutte,WR,0.9995,1
51,brian robinson,Brian Robinson Jr.,RB,0.9915,1
51,tj hockenson,T.J. Hockenson,TE,0.951,1
51,dalton kincaid,Dalton Kincaid,TE,0.9535,1
51,ray davis,Ray Davis,RB,0.995,1
51,isiah pacheco,Isiah Pacheco,RB,0.9945,1
51,tank bigsby,Tank Bigsby,RB,0.997,1
51,chris rodriguez,Chris Rodriguez Jr.,RB,0.996,1
51,keaton mitchell,Keaton Mitchell,RB,0.9975,1
51,alvin kamara,Alvin Kamara,RB,0.9975,1
51,emari demercado,Emari Demercado,RB,0.997,1
51,justice hill,Justice Hill,RB,0.9965,1
51,james conner,James Conner,RB,0.9975,1
51,aj dillon,AJ Dillon,RB,0.9965,1
51,ty johnson,Ty Johnson,RB,0.9955,1
51,kimani vidal,Kimani Vidal,RB,0.9945,1
51,brenton strange,Brenton Strange,TE,0.9965,1
51,chig okonkwo,Chig Okonkwo,TE,0.9975,1
61,dk metcalf,DK Metcalf,WR,0.414,1
61,rome odunze,Rome Odunze,WR,0.4225,0
61,dak prescott,Dak Prescott,QB,0.3715,1
61,wandale robinson,Wan'Dale Robinson,WR,0.5695,1
61,michael pittman,Michael Pittman Jr.,WR,0.5825,1
61,mike evans,Mike Evans,WR,0.594,0
61,jakobi meyers,Jakobi Meyers,WR,0.6145,1
61,marvin harrison,Marvin Harrison Jr.,WR,0.6735,0
61,carnell tate,Carnell Tate,WR,0.668,0
61,christian watson,Christian Watson,WR,0.6915,0
61,courtland sutton,Courtland Sutton,WR,0.727,1
61,quentin johnston,Quentin Johnston,WR,0.7355,1
61,patrick mahomes,Patrick Mahomes,QB,0.7155,1
61,bo nix,Bo Nix,QB,0.7335,1
61,jalen hurts,Jalen Hurts,QB,0.7195,0
61,jared goff,Jared Goff,QB,0.783,1
61,parker washington,Parker Washington,WR,0.7905,0
61,jaxson dart,Jaxson Dart,QB,0.7795,1
61,caleb williams,Caleb Williams,QB,0.77,0
61,matthew stafford,Matthew Stafford,QB,0.774,1
61,justin herbert,Justin Herbert,QB,0.7995,1
61,trevor lawrence,Trevor Lawrence,QB,0.8055,1
