rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,adp_espn,adp_ffc_equiv_espn,adp_price_used,tier,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,age_2026,mu_star_z,mu_star,theta_star_mu_star,theta_used,proj,w_market,w_history,w_projection,post_var,arm,value_prior,view_shift_player,value_post_views,struct_shift,value_ranked,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_ref_positional,floor_ref_source,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers,from_s01_delta_rb
11,Jaxon Smith-Njigba,SEA,WR,5.9,3,6,-5,5.83,5.591958512006325,5.9,vet,3,51.0,17.608403361344536,2.3333333333333335,18.379251629089865,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,18.09530065074046,24.54483230663929,0.050111396228687974,16.666439336084554,17.748317181056017,17.748317181056017,,,,,6.810573101316178,theta_star,17.748317181056017,-0.07915859052801011,17.669158590528006,0.0,17.669158590528006,1.3048537371403144,7.920755406757527,9.74840318377048,54.0,0.944,6.6,0.2962962962962963,True,4.65,4.6875,top70,1.9499999999999993,9.94340318377048,,0.0,0.0,0.0,-0.0,0.0,-0.07915859052800833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
12,Omarion Hampton,LAC,RB,19.8,11,20,8,22.08,21.077558739681457,19.8,soph,1,9.0,15.077777777777776,1.0,14.434106455309395,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,14.602197160967599,23.463381245722108,0.05168311527354,14.869249338015592,14.547741274297035,14.547741274297035,,,,,11.442449765890137,pi_market (market-anchored),14.434106455309395,1.4927148357524853,15.92682129106188,1.4,17.32682129106188,1.0696938705017496,7.4745791409013185,9.85224215016056,18.0,0.5,0.0,0.6111111111111112,False,6.075,6.1125,top70,0.0,9.85224215016056,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.4927148357524844,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
13,Derrick Henry,BAL,RB,16.1,9,17,4,20.91,21.077558739681457,16.1,vet,10,152.0,17.48787907538382,2.9941463414634146,15.48991409805029,11.74653700580229,39.64076972639763,13.239422929148768,0.5298744960616499,16.42920838987039,32.6570841889117,-0.1019318701022357,13.813780775507619,14.701921075122055,14.701921075122055,,,,,6.224190376419011,pi_market (market-anchored),15.48991409805029,0.0,15.48991409805029,1.4,16.88991409805029,1.764113144956838,7.4745791409013185,9.415334957148971,54.0,0.944,10.125,0.2037037037037037,True,6.075,6.1125,top70,4.05,9.82033495714897,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
14,Saquon Barkley,PHI,RB,18.7,10,19,5,17.01,14.332959804660137,18.7,vet,8,106.0,16.696799719887956,2.9766536964980546,15.48991409805029,11.74653700580229,39.64076972639763,13.317225908083909,0.5313338605156411,16.05554052323613,29.557837097878167,-0.09997751180123063,13.347552974729462,14.485861981002143,14.485861981002143,,,,,6.241332854982771,pi_market (market-anchored),15.48991409805029,0.2500429509748532,15.739957049025143,1.4,17.139957049025142,1.2491329848121426,7.4745791409013185,9.665377908123823,54.0,0.852,7.175,0.2777777777777778,True,6.075,6.1125,top70,1.0999999999999996,9.775377908123822,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.25004295097485496,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
15,Travis Etienne Jr.,NO,RB,37.1,19,39,24,50.15,49.702296406664395,37.1,vet,4,66.0,13.299372549019608,2.6470588235294117,13.416324058711414,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,13.364914045332718,27.59753593429158,-0.08314855267090172,11.486699965824352,12.56809216591584,12.56809216591584,,,,,6.582947187996207,pi_market (market-anchored),13.416324058711414,2.386940753030867,15.803264811742281,1.4,17.20326481174228,0.8113536336269288,7.4745791409013185,9.72868567084096,54.0,0.907,6.325,0.3148148148148148,True,6.075,6.1125,top70,0.25,9.75368567084096,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.3869407530308675,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
16,Kenneth Walker,KC,RB,26.5,14,26,10,24.82,21.905821305289543,26.5,vet,4,58.0,13.085563874034461,2.6470588235294117,14.434106455309395,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,13.841308702396379,25.864476386036962,-0.03191461738651105,12.210889828156173,13.456815979565349,13.456815979565349,,,,,6.582947187996207,pi_market (market-anchored),14.434106455309395,1.1579467723453032,15.592053227654699,1.4,16.992053227654697,1.2828627350574386,7.4745791409013185,9.517474086753378,54.0,0.796,3.125,0.3888888888888889,True,6.075,6.1125,top70,-2.95,9.222474086753378,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1579467723453023,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
17,Rashee Rice,KC,WR,11.4,7,12,-5,22.61,21.077558739681457,11.4,vet,3,27.0,18.79970238095238,2.3333333333333335,16.94065359477124,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,17.625455966033506,26.360027378507873,-0.02554489802213598,16.72278274187241,16.860398317016788,16.860398317016788,,,,,6.810573101316178,theta_star,16.860398317016788,0.6398008414916063,17.500199158508394,0.0,17.500199158508394,1.3048537371403144,7.920755406757527,9.579443751750867,48.0,0.583,0.0,0.5,True,4.65,4.6875,top70,-4.65,9.114443751750867,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.6398008414916063,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
18,CeeDee Lamb,DAL,WR,11.3,6,11,-7,10.59,11.220683505587504,11.3,vet,6,93.0,17.72019257703081,2.9076923076923076,17.439970562535834,10.782394134943546,43.140579588937385,14.836707266036667,0.579126763028035,17.55790850884714,27.40041067761807,-0.046596258804945674,15.709106812150623,16.711496333153775,16.711496333153775,,,,,6.244373013062324,theta_star,16.711496333153775,-0.35574816657688757,16.355748166576888,0.0,16.355748166576888,1.2494371745972588,7.920755406757527,8.43499275981936,54.0,0.833,9.075,0.2037037037037037,True,4.65,4.6875,top70,4.424999999999999,8.877492759819361,,0.0,0.0,0.0,-0.35574816657688757,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
19,Ashton Jeanty,LV,RB,14.1,7,15,-4,17.84,14.332959804660137,14.1,soph,1,17.0,14.41764705882353,1.0,15.781450991037447,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,15.425302196857587,22.748802190280628,0.07556472686361644,14.85328276004145,15.53906571229092,15.53906571229092,,,,,11.442449765890137,pi_market (market-anchored),15.781450991037447,-1.2407254955187224,14.540725495518725,1.4,15.940725495518725,1.6913345149533652,7.4745791409013185,8.466146354617408,18.0,0.944,7.6,0.2777777777777778,False,6.075,6.1125,top70,0.0,8.466146354617408,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.2407254955187232,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
20,Josh Jacobs,GB,RB,24.6,12,24,4,28.56,22.31095833317905,24.6,vet,7,105.0,16.11477060842508,2.953488372093023,14.434106455309395,11.74653700580229,39.64076972639763,13.42167793885904,0.5332788983394326,15.218507880372972,28.553045859000683,-0.09801080562139451,13.013396961923654,13.771031355416776,13.771031355416776,,,,,6.264180313757624,pi_market (market-anchored),14.434106455309395,-0.36682129106187844,14.067285164247517,1.4,15.467285164247517,1.5829314974132802,7.4745791409013185,7.992706023346199,54.0,0.833,5.875,0.2962962962962963,True,6.075,6.1125,top70,-0.20000000000000018,7.972706023346198,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.3668212910618791,-0.0,-0.0,1.4
21,Drake London,ATL,WR,10.6,5,10,-11,18.86,14.332959804660137,10.6,vet,4,60.0,15.664333660130719,2.6470588235294117,17.943725961538462,10.782394134943546,43.140579588937385,16.297552289154122,0.6018310388772187,17.036142696895674,25.10609171800137,0.030516267387823384,15.037687784243868,16.786631759501933,16.786631759501933,,,,,6.489179463816703,theta_star,16.786631759501933,-0.9433158797509638,15.84331587975097,0.0,15.84331587975097,1.2736933955839513,7.920755406757527,7.9225604729934425,54.0,0.833,4.575,0.37037037037037035,True,4.65,4.6875,top70,-0.07500000000000018,7.915060472993442,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.9433158797509666,-0.0,-0.0,-0.0,0.0
22,Javonte Williams,DAL,RB,36.7,18,38,16,38.91,33.76254598473099,36.7,vet,5,70.0,12.740607210626187,2.8181818181818183,13.416324058711414,11.74653700580229,39.64076972639763,14.066079580334641,0.5449304038355045,13.108825865531724,26.351813826146476,-0.04687771450085186,11.74240686930398,12.654575239314966,12.654575239314966,,,,,6.40104515424054,pi_market (market-anchored),13.416324058711414,0.5018379706442939,13.918162029355708,1.4,15.318162029355708,1.2650143432230858,7.4745791409013185,7.84358288845439,54.0,0.907,6.1499999999999995,0.37037037037037035,True,6.075,6.1125,top70,0.07499999999999929,7.85108288845439,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.501837970644293,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
23,Cam Skattebo,NYG,RB,30.6,16,32,9,42.95,33.76254598473099,30.6,soph,1,8.0,15.9625,1.0,13.416324058711414,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,14.081241844794953,24.569472963723477,0.009738780181147443,14.724020194250137,13.757820655711054,13.757820655711054,,,,,11.442449765890137,pi_market (market-anchored),13.416324058711414,0.5018379706442957,13.91816202935571,1.4,15.31816202935571,1.6913345149533652,7.4745791409013185,7.8435828884543914,18.0,0.444,0.0,0.6111111111111112,False,6.075,6.1125,top70,0.0,7.8435828884543914,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.501837970644293,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
24,Jeremiyah Love,ARI,RB,25.6,13,25,1,19.34,21.077558739681457,25.6,rookie,0,0.0,,0.0,14.434106455309395,13.882089022740637,35.36523585755328,inf,1.0,14.434106455309395,21.253935660506503,0.02643821379475189,,14.434106455309395,14.434106455309395,,,,,13.882089022740637,pi_market (market-anchored),14.434106455309395,-0.5170532276546975,13.917053227654698,1.4,15.317053227654698,1.8629337765162666,7.4745791409013185,7.84247408675338,,,,,False,6.075,6.1125,top70,0.0,7.84247408675338,no NFL rows: full shrinkage to market,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.5170532276546974,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
25,George Pickens,DAL,WR,21.6,11,22,-3,28.15,22.31095833317905,21.6,vet,4,64.0,14.679516806722688,2.6470588235294117,15.39774859415863,10.782394134943546,43.140579588937385,16.297552289154122,0.6018310388772187,15.111770989509903,25.49486652977413,0.013339374053078472,14.134714475310433,14.894847611194216,14.894847611194216,,,,,6.489179463816703,theta_star,14.894847611194216,0.552576194402894,15.44742380559711,0.0,15.44742380559711,1.2736933955839513,7.920755406757527,7.526668398839583,54.0,0.889,6.075,0.35185185185185186,True,4.65,4.6875,top70,1.4249999999999998,7.669168398839583,,0.0,0.0,0.0,-0.0,0.5525761944028923,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
26,A.J. Brown,NE,WR,17.5,9,18,-8,27.19,21.905821305289543,17.5,vet,7,103.0,16.283783478564047,2.953488372093023,16.42261932202348,10.782394134943546,43.140579588937385,14.606652931687462,0.5753131613547278,16.36365756657404,29.17180013689254,-0.05678540164692675,14.551751227237903,15.62808626532669,15.62808626532669,,,,,6.203253256747046,theta_star,15.62808626532669,0.0,15.62808626532669,0.0,15.62808626532669,1.7611435570030975,7.920755406757527,7.707330858569163,54.0,0.833,3.875,0.3148148148148148,True,4.65,4.6875,top70,-0.7750000000000004,7.629830858569163,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
27,Kyren Williams,LAR,RB,32.2,17,33,6,42.54,33.76254598473099,32.2,vet,4,53.0,15.882892156862745,2.6470588235294117,13.416324058711414,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,14.500587949443492,26.015058179329227,-0.036512987632611474,13.89828664259201,13.628187103067386,13.628187103067386,,,,,6.582947187996207,pi_market (market-anchored),13.416324058711414,-1.7763568394002505e-15,13.416324058711412,1.4,14.816324058711412,1.8142418785812722,7.4745791409013185,7.341744917810094,54.0,0.833,8.95,0.2037037037037037,True,6.075,6.1125,top70,2.874999999999999,7.629244917810094,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
